Target,Segment_Field,Segment,Project_Count,Actual_Positive_Rate,Mean_Predicted_Probability,ROC_AUC,Precision,Recall,F1
Cost_Overrun_Flag,Project_Type,Commercial,84,0.16666666666666666,0.28710894403279597,0.8877551020408163,0.5294117647058824,0.6428571428571429,0.5806451612903226
Cost_Overrun_Flag,Project_Type,Heavy Civil,61,0.2459016393442623,0.39825159062481935,0.9101449275362319,0.56,0.9333333333333333,0.7
Cost_Overrun_Flag,Project_Type,Industrial,46,0.2391304347826087,0.39340969666783737,0.9142857142857144,0.6111111111111112,1.0,0.7586206896551724
Cost_Overrun_Flag,Project_Type,Infrastructure,47,0.19148936170212766,0.31644439032739125,0.9239766081871346,0.5714285714285714,0.8888888888888888,0.6956521739130435
Cost_Overrun_Flag,Project_Type,Institutional,59,0.3389830508474576,0.36905051064441446,0.9564102564102565,0.8421052631578947,0.8,0.8205128205128205
Cost_Overrun_Flag,Project_Type,Mixed-Use,57,0.3508771929824561,0.4547725613706429,0.8959459459459459,0.6538461538461539,0.85,0.7391304347826086
Cost_Overrun_Flag,Project_Type,Residential,82,0.2682926829268293,0.3268698599224217,0.8537878787878788,0.6,0.6818181818181818,0.6382978723404256
Cost_Overrun_Flag,Complexity_Level,High,147,0.3197278911564626,0.4418922526641069,0.8304255319148937,0.5588235294117647,0.8085106382978723,0.6608695652173913
Cost_Overrun_Flag,Complexity_Level,Low,56,0.07142857142857142,0.16866931797380902,0.9807692307692307,0.6666666666666666,0.5,0.5714285714285714
Cost_Overrun_Flag,Complexity_Level,Moderate,175,0.17142857142857143,0.2732225919949222,0.9372413793103449,0.6388888888888888,0.7666666666666667,0.696969696969697
Cost_Overrun_Flag,Complexity_Level,Very High,58,0.5172413793103449,0.5803789450257589,0.8535714285714286,0.7297297297297297,0.9,0.8059701492537313
Cost_Overrun_Flag,Digital_Coordination_Level,High,120,0.10833333333333334,0.27682036636085083,0.9352983465132998,0.43478260869565216,0.7692307692307693,0.5555555555555556
Cost_Overrun_Flag,Digital_Coordination_Level,Low,102,0.4215686274509804,0.4750948661274113,0.906188411509657,0.6909090909090909,0.8837209302325582,0.7755102040816326
Cost_Overrun_Flag,Digital_Coordination_Level,Moderate,214,0.2570093457943925,0.34673577126385224,0.865980560320183,0.6363636363636364,0.7636363636363637,0.6942148760330579
Cost_Overrun_Flag,Owner_Decision_Profile,Fast,126,0.14285714285714285,0.24230738109683142,0.9197530864197531,0.7222222222222222,0.7222222222222222,0.7222222222222222
Cost_Overrun_Flag,Owner_Decision_Profile,Slow,101,0.46534653465346537,0.5283217630365853,0.8884948778565799,0.7049180327868853,0.9148936170212766,0.7962962962962963
Cost_Overrun_Flag,Owner_Decision_Profile,Standard,209,0.22009569377990432,0.34444185298500735,0.8610296078954388,0.5230769230769231,0.7391304347826086,0.6126126126126126
Cost_Overrun_Flag,Delivery_Method,CMAR,107,0.2523364485981308,0.37900504991128087,0.8907407407407407,0.5675675675675675,0.7777777777777778,0.65625
Cost_Overrun_Flag,Delivery_Method,Design-Bid-Build,151,0.31125827814569534,0.39215150601819504,0.9290098199672668,0.7192982456140351,0.8723404255319149,0.7884615384615384
Cost_Overrun_Flag,Delivery_Method,Design-Build,114,0.18421052631578946,0.3085704921052062,0.9109062980030721,0.5483870967741935,0.8095238095238095,0.6538461538461539
Cost_Overrun_Flag,Delivery_Method,IPD,64,0.25,0.3270956485861627,0.7877604166666666,0.5789473684210527,0.6875,0.6285714285714286
Schedule_Delay_Flag,Project_Type,Commercial,84,0.10714285714285714,0.34710772495183373,0.831111111111111,0.75,0.6666666666666666,0.7058823529411765
Schedule_Delay_Flag,Project_Type,Heavy Civil,61,0.26229508196721313,0.4146328053757224,0.8527777777777777,0.6923076923076923,0.5625,0.6206896551724138
Schedule_Delay_Flag,Project_Type,Industrial,46,0.15217391304347827,0.3379222407629854,0.9157509157509158,0.5,0.2857142857142857,0.36363636363636365
Schedule_Delay_Flag,Project_Type,Infrastructure,47,0.2765957446808511,0.4422695400828051,0.8416289592760181,0.7777777777777778,0.5384615384615384,0.6363636363636364
Schedule_Delay_Flag,Project_Type,Institutional,59,0.2033898305084746,0.3643505515038221,0.7269503546099291,0.38461538461538464,0.4166666666666667,0.4
Schedule_Delay_Flag,Project_Type,Mixed-Use,57,0.22807017543859648,0.4306383029970715,0.6083916083916083,0.4,0.46153846153846156,0.42857142857142855
Schedule_Delay_Flag,Project_Type,Residential,82,0.1951219512195122,0.38569765002765843,0.5928030303030303,0.3076923076923077,0.25,0.27586206896551724
Schedule_Delay_Flag,Complexity_Level,High,147,0.19727891156462585,0.4257119166735645,0.7045587375803622,0.5384615384615384,0.4827586206896552,0.509090909090909
Schedule_Delay_Flag,Complexity_Level,Low,56,0.10714285714285714,0.1910243223778426,0.7566666666666667,1.0,0.16666666666666666,0.2857142857142857
Schedule_Delay_Flag,Complexity_Level,Moderate,175,0.15428571428571428,0.3545628638974564,0.7367367367367368,0.44,0.4074074074074074,0.4230769230769231
Schedule_Delay_Flag,Complexity_Level,Very High,58,0.41379310344827586,0.5711293035941518,0.7181372549019608,0.5652173913043478,0.5416666666666666,0.5531914893617021
Schedule_Delay_Flag,Digital_Coordination_Level,High,120,0.2,0.305854940664066,0.7369791666666667,0.625,0.20833333333333334,0.3125
Schedule_Delay_Flag,Digital_Coordination_Level,Low,102,0.27450980392156865,0.5124420403238823,0.7924710424710425,0.5142857142857142,0.6428571428571429,0.5714285714285714
