Project_ID,Project_Name,Project_Type,Region,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Original_Budget,CPI_Snapshot,SPI_Snapshot,Pending_Change_Exposure_Pct_Budget,Avg_RFI_Response_Days,Overdue_RFI_Rate,Change_Approval_Cycle_Days,Contingency_Utilization_Pct,Workflow_Risk_Score_Snapshot,Cost_Overrun_Flag,Schedule_Delay_Flag,Final_Cost_Overrun_Pct,Final_Schedule_Delay_Days,Predicted_Cost_Overrun_Probability,Predicted_Schedule_Delay_Probability,Overall_Overrun_Probability,Predicted_Final_Cost_Overrun_Pct,Predicted_Final_Schedule_Delay_Days,Risk_Band,Primary_Risk_Drivers
PRJ3-01418,Gateway Bridge Program 1418,Heavy Civil,West,Design-Bid-Build,Very High,Moderate,Slow,121669100,0.8806,0.8453,0.0452,12.729,0.4612,45.566,0.3798,7,1,1,0.1585,70,0.9399010320458105,0.974275627409519,0.9984539917560431,0.1495108622983181,53.74565737298881,Red,Slow change approval; Workflow risk score; Overdue RFI backlog
PRJ3-01705,Granite Urban Village 1705,Mixed-Use,Midwest,CMAR,Very High,Low,Slow,175531500,0.9095,0.8242,0.0482,13.166,0.5219,37.618,0.5812,7,1,1,0.1563,56,0.8906580948302405,0.9774580536611016,0.9975352206410704,0.14643980724557765,53.0264165956313,Red,Overdue RFI backlog; Slow change approval; Workflow risk score
PRJ3-00034,Horizon Neighborhood 34,Residential,Southeast,Design-Bid-Build,Very High,Low,Slow,128946600,0.9118,0.9217,0.0628,14.914,0.595,35.6,0.5282,8,1,1,0.1508,58,0.8029700587306873,0.9679332651093985,0.9936818931078062,0.140668927674807,47.64976732216674,Red,Overdue RFI backlog; Workflow risk score; Slow RFI response
PRJ3-01716,Redwood Logistics Center 1716,Industrial,West,Design-Build,Very High,Moderate,Slow,128217800,0.8638,0.891,0.0504,14.57,0.5172,30.88,0.4537,6,1,1,0.1989,58,0.9164024836914005,0.9093088879040226,0.9924184482775115,0.14241761466793976,44.91928821900242,Red,Overdue RFI backlog; Slow RFI response; Workflow risk score
PRJ3-00702,Aspen Corporate Center 702,Commercial,Northeast,Design-Bid-Build,High,Low,Slow,58733900,0.8606,0.9066,0.0336,13.791,0.4895,34.564,0.3331,6,1,1,0.2431,50,0.9178694043852336,0.891652346834567,0.9911013427120609,0.1473137344234772,37.750990869341564,Red,Overdue RFI backlog; Slow change approval; Slow RFI response
PRJ3-01925,Northstar Highway Improvements 1925,Heavy Civil,Midwest,Design-Bid-Build,Very High,High,Slow,401173800,0.8179,0.9044,0.0408,12.757,0.4218,38.46,0.3387,6,1,0,0.2436,24,0.8809701386231231,0.9197875047844151,0.9904523178137955,0.1926001347358244,39.61194431203165,Red,Slow change approval; Workflow risk score; Slow RFI response
PRJ3-01981,Pioneer Urban Village 1981,Mixed-Use,Mountain,CMAR,Very High,High,Slow,266052500,0.8387,0.9649,0.0449,14.978,0.5691,31.168,0.4773,6,1,1,0.1337,35,0.9408283367285022,0.8040447635070153,0.9884050027299504,0.19145020243327796,34.2325328787063,Red,Overdue RFI backlog; Slow RFI response; Workflow risk score
PRJ3-01492,Horizon Education Center 1492,Institutional,Southwest,Design-Bid-Build,High,Low,Slow,321097900,0.8229,0.8592,0.0456,9.579,0.4238,23.002,0.5382,4,1,1,0.2459,53,0.9211636985505067,0.824227015508608,0.9861427080079596,0.19735289467699452,23.16447964276844,Red,Overdue RFI backlog; Low CPI; Low SPI
PRJ3-01752,Lakeview Highway Improvements 1752,Heavy Civil,West,Design-Bid-Build,Moderate,Low,Slow,479393700,0.8005,0.8597,0.0345,10.801,0.4634,25.807,0.4835,5,1,0,0.2756,6,0.8706742209909266,0.8834930316154844,0.9849326455536871,0.16818295055359236,35.98691462394346,Red,Overdue RFI backlog; Low CPI; Low SPI
PRJ3-02338,Riverside Neighborhood 2338,Residential,Mountain,Design-Build,High,Moderate,Slow,37295900,0.9367,0.9523,0.032,13.356,0.5427,34.801,0.3251,6,1,1,0.1427,41,0.7454881429490665,0.9294939999865226,0.9820553870033367,0.11233010783952234,42.56670712839339,Red,Overdue RFI backlog; Slow change approval; Slow RFI response
PRJ3-00088,Harbor District 88,Mixed-Use,Southwest,Design-Bid-Build,Very High,Low,Fast,112009700,0.839,0.8883,0.0456,15.538,0.5584,27.479,0.3766,6,1,0,0.1344,26,0.9067690409061179,0.8024461175594633,0.9815818620673488,0.19492889704954303,40.28150813345918,Red,Overdue RFI backlog; Slow RFI response; Workflow risk score
