Project_ID,Project_Name,Project_Type,Region,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Original_Budget,CPI_Snapshot,SPI_Snapshot,Pending_Change_Exposure_Pct_Budget,Avg_RFI_Response_Days,Overdue_RFI_Rate,Change_Approval_Cycle_Days,Contingency_Utilization_Pct,Workflow_Risk_Score_Snapshot,Cost_Overrun_Flag,Schedule_Delay_Flag,Final_Cost_Overrun_Pct,Final_Schedule_Delay_Days,Predicted_Cost_Overrun_Probability,Predicted_Schedule_Delay_Probability,Overall_Overrun_Probability,Predicted_Final_Cost_Overrun_Pct,Predicted_Final_Schedule_Delay_Days,Risk_Band,Primary_Risk_Drivers
PRJ3-00563,Cedar Marketplace 563,Commercial,Midwest,Design-Build,Moderate,High,Standard,24866100,1.0128,1.12,0.029,7.591,0.3041,20.088,0.3738,3,0,0,0.0658,20,0.081189413887664,0.09737512981191582,0.182859073086813,0.0329867984619507,-2.776617722943829,Green,Overdue RFI backlog; Pending change exposure
PRJ3-00573,Aspen Earthworks Package 573,Heavy Civil,Mountain,CMAR,High,Moderate,Standard,263758500,0.9571,0.8997,0.0249,10.946,0.3074,28.847,0.4771,4,0,1,0.0145,63,0.450751637328497,0.6576519572119365,0.861222388131185,0.0644700487444533,23.77470783349809,Red,Slow change approval; Overdue RFI backlog; Low SPI
PRJ3-02385,Summit Civic Complex 2385,Institutional,West,CMAR,Moderate,Moderate,Standard,143718000,0.9372,0.9219,0.0415,6.978,0.1425,17.411,0.2847,3,0,1,0.0111,38,0.3098080994546404,0.17513477736767927,0.4471678776853075,0.0760886144985189,-4.957696934123604,Yellow,Low SPI; Low CPI; Pending change exposure
PRJ3-02289,Pioneer Urban Village 2289,Mixed-Use,West,Design-Bid-Build,High,Moderate,Standard,144198800,0.9325,0.9572,0.0202,6.898,0.1513,19.377,0.2517,2,0,0,0.06,-10,0.3365708394921439,0.055297396606256814,0.3782593683657335,0.0592057400484974,-8.067989008791534,Yellow,Low CPI; Pending change exposure
PRJ3-01019,Evergreen Airport Improvements 1019,Infrastructure,Southwest,Design-Build,Moderate,Moderate,Standard,187635500,0.9667,1.0412,0.0153,8.252,0.3519,19.862,0.2386,2,0,0,0.071,14,0.123598778542121,0.2277777412312865,0.3504450179012303,0.0553538150576714,-1.4008105254665342,Yellow,Overdue RFI backlog
PRJ3-02038,Summit Corporate Center 2038,Commercial,West,Design-Bid-Build,Low,Moderate,Standard,85385100,0.9372,1.0094,0.0235,10.699,0.3233,23.472,0.3403,3,0,0,0.0732,15,0.3007827428894292,0.14291538469186704,0.4143383148020989,0.0657145726964888,-4.664959008542088,Yellow,Overdue RFI backlog; Low CPI; Pending change exposure
PRJ3-01796,Summit Urban Village 1796,Mixed-Use,West,Design-Bid-Build,High,Moderate,Fast,270908700,0.9772,0.9296,0.0128,9.929,0.2694,15.351,0.3078,2,0,0,0.0592,-1,0.22476391301453,0.4060373777761972,0.5824625811020985,0.0339942992471879,10.151726860697735,Yellow,Overdue RFI backlog; Low SPI
PRJ3-01878,Redwood Distribution Hub 1878,Industrial,West,Design-Bid-Build,Moderate,Moderate,Standard,123312900,1.018,0.9042,0.0317,9.703,0.3738,34.915,0.3986,5,0,0,0.0773,5,0.3213144941147941,0.6961743868541629,0.8582275235766583,0.0581873421332604,24.135995683680637,Red,Slow change approval; Overdue RFI backlog; Low SPI
PRJ3-00097,Crescent Bridge Program 97,Heavy Civil,West,Design-Build,Low,Moderate,Fast,151774500,1.0008,1.0433,0.0009,6.573,0.1473,12.258,0.2554,1,0,0,0.0753,-25,0.0412434011686442,0.025795989091308216,0.0693480315830459,0.0094781088482679,-11.156228392901047,Green,No dominant rule-based trigger
PRJ3-01727,Evergreen Manufacturing Facility 1727,Industrial,Mountain,CMAR,Moderate,High,Fast,179767700,1.0436,0.9602,0.0192,6.883,0.1996,7.279,0.1783,2,0,0,-0.0091,-14,0.0990443026826436,0.06207081871080279,0.1625932319492919,0.0223330116475853,-7.342825590750328,Green,No dominant rule-based trigger
