Project_ID,Project_Name,Predicted_Cost_Overrun_Probability,Predicted_Schedule_Delay_Probability,Overall_Overrun_Probability,Predicted_Final_Cost_Overrun_Pct,Predicted_Final_Schedule_Delay_Days,Cost_Alert_Flag,Schedule_Alert_Flag,Risk_Band,Primary_Risk_Drivers,Model_Version
MOSPI-POWER-15,SUBANSIRI LOWER HYDROELECTRIC PROJECT (2000 MW),0.421633467262988,0.9987187942002784,0.9992589934438925,0.1388363327614123,105.21035289670236,0,1,Red,Low CPI,1.0.0
MOSPI-PETRO-18,NMDC SLURRY PIPELINE PROJECT PHASE-1,0.3286284736638668,0.597330732939198,0.7296593195647374,0.1007860325113051,27.92617401727133,0,0,Red,Low CPI,1.0.0
MOSPI-POWER-10,DIBANG MULTIPURPOSE PROJECT,0.44912718730014917,0.3141546029883847,0.6221864170709657,0.12546354935317539,-5.291186920080884,1,0,Yellow,Low CPI; Overdue RFI backlog,1.0.0
MOSPI-POWER-06,MEJA THERMAL POWER PROJECT STAGE-II,0.46977444673742264,0.2825232474001365,0.6195754918997001,0.13052117075337266,-12.687347744499993,1,0,Yellow,Low CPI; Slow change approval; Overdue RFI backlog,1.0.0
MOSPI-METRO-13,JAIPUR METRO RAIL PROJECT PHASE 2,0.4611718411793454,0.1967320925470236,0.5671766323873928,0.12769584368091386,-20.591759500701144,1,0,Yellow,Low CPI; Overdue RFI backlog,1.0.0
MOSPI-PETRO-05,RAJASTHAN REFINERY PROJECT (HPCL),0.2978361827543437,0.2932213657480715,0.5037256162259943,0.1324158412036974,14.923291505436413,0,0,Yellow,Low CPI,1.0.0
MOSPI-PETRO-17,EXPANSION OF ALUMINA REFINERY PLANT (NALCO),0.26889734664625237,0.14947276974367604,0.3781772852099876,0.10206436323641199,3.9524956498277604,0,0,Yellow,Low CPI,1.0.0
MOSPI-RAIL-11,EASTERN DEDICATED FREIGHT CORRIDOR,0.1419331216897813,0.26006864788533696,0.36508941452711186,0.02850373822528794,16.117438014973654,0,0,Yellow,No dominant rule-based trigger,1.0.0
MOSPI-METRO-12,BANGALORE METRO RAIL PROJECT PHASE-2,0.28686825065089133,0.05697910724699552,0.3275018610782917,0.13116900124155764,-9.054798596102549,0,0,Green,Low CPI,1.0.0
MOSPI-ROAD-14,ZOJI-LA TUNNEL ACROSS ZOJILA PASS ON NH-01,0.2585869868029265,0.05796653110259936,0.30156412729228654,0.12107716161397658,-13.753585976218295,0,0,Green,Low CPI,1.0.0
MOSPI-ROAD-16,PATNA RING ROAD 6L BRIDGE GANGA RIVER,0.2765383656230752,0.02994792867709347,0.2982045430500089,0.12008030070873509,-43.89926888078321,0,0,Green,Low CPI,1.0.0
MOSPI-PETRO-04,ETHYLENE CRACKER PROJECT AT BINA REFINERY,0.2613667425585031,0.046803580537811126,0.295937423711072,0.11657435510173855,-28.481799981777918,0,0,Green,Low CPI,1.0.0
MOSPI-METRO-02,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,0.2526941460920278,0.03095776632251729,0.2758290660887601,0.11212234739890956,-18.309343245467446,0,0,Green,Low CPI,1.0.0
MOSPI-PETRO-07,CAPACITY EXPANSION OF PANIPAT REFINERY,0.2544060506481454,0.02302583090224001,0.27157397084765444,0.11944516909889945,-14.121755500246524,0,0,Green,Low CPI,1.0.0
MOSPI-HOUS-09,REDEVELOPMENT OF SEVEN GPRA COLONIES IN DELHI,0.1873056219209226,0.08979913261296263,0.2602848721518548,0.0619215371203177,-8.666458595172804,0,0,Green,Low CPI,1.0.0
MOSPI-RAIL-01,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT-508 KM,0.21593993555496652,0.01749469292906178,0.2296568256203727,0.09318417167341245,-8.058721123985242,0,0,Green,Low CPI,1.0.0
MOSPI-RAIL-03,WESTERN DEDICATED FREIGHT CORRIDOR,0.14853449642724031,0.017279878636199276,0.163247716991888,0.027175039687046616,-12.92491230610995,0,0,Green,No dominant rule-based trigger,1.0.0
MOSPI-PETRO-08,KG-DWN-98/2 CLUSTER-II DEVELOPMENT PROJECT,0.08793043823106148,0.01450037041816801,0.10115578472384723,0.021185013246401117,-10.65119919584078,0,0,Green,No dominant rule-based trigger,1.0.0
MOSPI-PETRO-19,SRIKAKULAM-ANGUL GAS PIPELINE PROJECT,0.08533547603084574,0.01607823102730524,0.10004166355970201,0.0009975847118044749,-16.755847029220575,0,0,Green,No dominant rule-based trigger,1.0.0
MOSPI-ROAD-20,DWARKA EXPRESSWAY PACKAGE III,0.063648396510906,0.015632196081104385,0.07828562837750397,0.0006598616980094998,-14.972689921013602,0,0,Green,No dominant rule-based trigger,1.0.0
