Project_ID,Final_Cost_Overrun_Pct,Final_Schedule_Delay_Days,Cost_Overrun_Flag,Schedule_Delay_Flag,Combined_Overrun_Flag,Final_CPI,Final_SPI,Final_Status,Actual_End_Date,Final_EAC
PRJ3-00001,-0.013,19,0,0,0,1.0132,0.9713,Complete,2020-12-07,177009000
PRJ3-00002,0.0059,-20,0,0,0,0.9941,1.0198,Complete,2023-12-30,297602100
PRJ3-00003,0.0764,-9,0,0,0,0.929,1.0109,Complete,2023-02-08,134110700
PRJ3-00004,0.0509,14,0,0,0,0.9515,0.9825,Complete,2025-11-27,60252400
PRJ3-00005,0.0203,-7,0,0,0,0.9801,1.0066,Complete,2023-02-03,241970100
PRJ3-00006,0.0022,-20,0,0,0,0.9978,1.0334,Complete,2025-04-29,119642400
PRJ3-00007,0.0926,-25,0,0,0,0.9153,1.0226,Complete,2023-04-22,325544600
PRJ3-00008,0.0872,-3,0,0,0,0.9198,1.0034,Complete,2026-04-04,145212400
PRJ3-00009,0.0292,-9,0,0,0,0.9716,1.0088,Complete,2022-05-08,210636900
PRJ3-00011,0.0443,24,0,0,0,0.9576,0.973,Complete,2023-11-26,100349100
PRJ3-00012,0.0763,12,0,0,0,0.9291,0.9908,Complete,2022-02-07,89611000
PRJ3-00013,0.1127,14,1,0,1,0.8987,0.9833,Complete,2026-06-10,160628400
PRJ3-00014,0.1836,20,1,0,1,0.8449,0.9687,Complete,2019-12-20,43222600
PRJ3-00015,0.0291,17,0,0,0,0.9717,0.9737,Complete,2021-12-08,9680300
PRJ3-00016,0.1086,16,1,0,1,0.9021,0.9748,Complete,2021-03-13,155282700
PRJ3-00017,0.0898,29,0,0,0,0.9176,0.971,Complete,2023-05-06,198062700
PRJ3-00018,0.1576,45,1,1,1,0.8639,0.9601,Complete,2023-01-15,109003200
PRJ3-00019,0.1294,-1,1,0,1,0.8854,1.0015,Complete,2026-10-14,61511400
PRJ3-00020,0.0772,-21,0,0,0,0.9284,1.0221,Complete,2024-10-16,101653200
PRJ3-00021,0.0043,4,0,0,0,0.9957,0.9956,Complete,2024-02-08,120057400
PRJ3-00022,0.1008,43,1,1,1,0.9085,0.9124,Complete,2023-05-22,29215400
PRJ3-00023,0.2365,-8,1,0,1,0.8088,1.0064,Complete,2027-03-04,259938400
PRJ3-00024,-0.0189,-19,0,0,0,1.0192,1.0311,Complete,2023-04-27,58791700
PRJ3-00025,0.0792,-10,0,0,0,0.9266,1.0123,Complete,2027-04-18,123001400
PRJ3-00026,0.0945,17,0,0,0,0.9137,0.9855,Complete,2025-03-08,98312400
PRJ3-00027,0.1259,29,1,0,1,0.8882,0.9677,Complete,2022-03-09,183905500
PRJ3-00028,0.0425,-16,0,0,0,0.9593,1.0298,Complete,2022-03-27,45239500
PRJ3-00029,0.1086,-10,1,0,1,0.9021,1.0081,Complete,2025-09-16,206353400
PRJ3-00030,0.05,31,0,1,1,0.9524,0.9451,Complete,2026-03-20,97159400
PRJ3-00031,0.0626,20,0,0,0,0.9411,0.9542,Complete,2022-05-28,89564400
PRJ3-00032,0.118,11,1,0,1,0.8945,0.9875,Complete,2025-07-21,648788200
PRJ3-00033,0.0447,7,0,0,0,0.9572,0.989,Complete,2026-05-13,55935800
PRJ3-00034,0.1508,58,1,1,1,0.8689,0.9376,Complete,2027-04-27,148396500
PRJ3-00035,0.032,22,0,0,0,0.969,0.9666,Complete,2020-12-29,32172000
PRJ3-00036,0.0964,10,0,0,0,0.9121,0.9894,Complete,2023-04-21,86582100
PRJ3-00037,0.0607,23,0,0,0,0.9428,0.9591,Complete,2025-05-31,32936500
PRJ3-00038,-0.0475,-25,0,0,0,1.0499,1.0352,Complete,2020-03-17,137091200
PRJ3-00039,0.2498,34,1,1,1,0.8001,0.9617,Complete,2024-03-22,162909100
PRJ3-00040,0.1687,23,1,0,1,0.8556,0.9715,Complete,2026-09-28,446983900
PRJ3-00041,0.0106,-25,0,0,0,0.9895,1.0437,Complete,2023-11-27,103210500
PRJ3-00042,0.0414,15,0,0,0,0.9602,0.9847,Complete,2022-12-09,127465100
PRJ3-00043,0.0441,-10,0,0,0,0.9578,1.0123,Complete,2026-07-22,34299500
PRJ3-00044,0.0409,-25,0,0,0,0.9607,1.0419,Complete,2026-02-28,52119100
PRJ3-00045,-0.0022,19,0,0,0,1.0023,0.9669,Complete,2023-05-05,46065800
PRJ3-00046,-0.0143,34,0,1,1,1.0145,0.9752,Complete,2025-03-24,184803400
PRJ3-00047,-0.0438,-13,0,0,0,1.0458,1.0151,Complete,2021-06-02,128167400
PRJ3-00048,0.0849,-1,0,0,0,0.9218,1.0011,Complete,2020-07-03,97897600
PRJ3-00049,0.036,-15,0,0,0,0.9653,1.0311,Complete,2023-03-17,17452000
PRJ3-00050,0.0647,13,0,0,0,0.9392,0.9897,Complete,2023-10-26,183518900
PRJ3-00051,0.0217,1,0,0,0,0.9788,0.9989,Complete,2024-09-20,109704300
PRJ3-00052,0.0264,40,0,1,1,0.9743,0.9435,Complete,2025-03-24,42700000
PRJ3-00053,0.0351,13,0,0,0,0.9661,0.9891,Complete,2026-04-27,408541200
PRJ3-00054,-0.0228,7,0,0,0,1.0234,0.9951,Complete,2022-12-18,99853300
PRJ3-00055,0.1612,9,1,0,1,0.8612,0.9913,Complete,2022-10-12,84942200
PRJ3-00056,0.0286,16,0,0,0,0.9722,0.989,Complete,2027-04-06,237341000
PRJ3-00057,0.058,-25,0,0,0,0.9452,1.0315,Complete,2025-08-17,176573000
PRJ3-00058,-0.0284,5,0,0,0,1.0293,0.9912,Complete,2023-07-10,76008600
PRJ3-00059,0.2148,15,1,0,1,0.8232,0.9892,Complete,2027-03-05,240972400
PRJ3-00060,0.1147,-13,1,0,1,0.8971,1.0213,Complete,2019-12-09,116426000
PRJ3-00061,0.0401,-5,0,0,0,0.9615,1.0061,Complete,2023-01-31,277042300
PRJ3-00062,0.0995,1,0,0,0,0.9095,0.9992,Complete,2026-12-29,129834800
PRJ3-00063,-0.0155,13,0,0,0,1.0157,0.9886,Complete,2022-03-26,542402600
PRJ3-00064,0.0881,16,0,0,0,0.9191,0.9799,Complete,2026-05-30,121527000
PRJ3-00065,0.1127,31,1,1,1,0.8987,0.9623,Complete,2026-11-16,82797800
PRJ3-00066,0.0709,35,0,1,1,0.9338,0.9632,Complete,2023-03-20,280269100
PRJ3-00067,0.0293,29,0,0,0,0.9715,0.9672,Complete,2022-10-18,219680100
PRJ3-00068,0.0075,-10,0,0,0,0.9925,1.0116,Complete,2021-12-26,179732500
PRJ3-00069,0.1113,-9,1,0,1,0.8999,1.0128,Complete,2020-05-03,44613200
PRJ3-00070,0.0221,44,0,1,1,0.9784,0.9575,Complete,2024-01-06,139561500
PRJ3-00071,-0.033,-25,0,0,0,1.0342,1.0257,Complete,2023-12-31,108398700
PRJ3-00072,0.0667,-2,0,0,0,0.9375,1.0028,Complete,2026-09-07,173516700
PRJ3-00073,0.1242,16,1,0,1,0.8895,0.9872,Complete,2023-07-11,255910800
PRJ3-00074,0.04,23,0,0,0,0.9615,0.9842,Complete,2026-11-17,206251400
PRJ3-00075,0.0447,-15,0,0,0,0.9572,1.0336,Complete,2023-11-15,69823700
PRJ3-00076,0.0702,-1,0,0,0,0.9344,1.0014,Complete,2024-05-27,35817200
PRJ3-00077,-0.058,-25,0,0,0,1.0616,1.039,Complete,2023-07-08,40549900
PRJ3-00078,0.0564,42,0,1,1,0.9466,0.9343,Complete,2023-06-04,66626500
PRJ3-00079,0.0854,-10,0,0,0,0.9213,1.0104,Complete,2023-10-12,191609800
PRJ3-00080,0.119,7,1,0,1,0.8937,0.992,Complete,2025-12-24,122596600
PRJ3-00081,0.0949,-25,0,0,0,0.9133,1.0336,Complete,2024-04-24,137383300
PRJ3-00082,0.0162,-10,0,0,0,0.984,1.0106,Complete,2021-08-27,180471300
PRJ3-00083,0.0441,-19,0,0,0,0.9577,1.0168,Complete,2025-07-22,224091700
PRJ3-00084,0.1555,85,1,1,1,0.8654,0.9214,Complete,2027-12-10,111255900
PRJ3-00085,0.0364,-10,0,0,0,0.9649,1.0131,Complete,2023-03-16,92612200
PRJ3-00086,-0.0053,-21,0,0,0,1.0053,1.0178,Complete,2027-04-03,209373600
PRJ3-00087,0.0098,22,0,0,0,0.9903,0.9666,Complete,2021-11-10,128614600
PRJ3-00088,0.1344,26,1,0,1,0.8815,0.9756,Complete,2027-02-14,127061000
PRJ3-00089,-0.0067,-25,0,0,0,1.0067,1.026,Complete,2022-11-01,48061900
PRJ3-00090,0.1069,45,1,1,1,0.9034,0.9711,Complete,2021-07-17,371772600
PRJ3-00091,-0.0241,17,0,0,0,1.0247,0.9762,Complete,2026-06-15,58870200
PRJ3-00092,0.0827,14,0,0,0,0.9237,0.9824,Complete,2025-04-08,121177100
PRJ3-00093,0.1109,41,1,1,1,0.9001,0.9448,Complete,2021-12-01,49627100
PRJ3-00094,0.1704,48,1,1,1,0.8544,0.9518,Complete,2021-12-05,230466900
PRJ3-00095,0.0535,-9,0,0,0,0.9492,1.0076,Complete,2026-11-26,96508500
