Project_ID,RFI_Count_to_Date,RFI_Count_per_10M,Avg_RFI_Response_Days,RFI_On_Time_Rate,Overdue_RFI_Rate,High_Critical_Overdue_Rate,RFI_Revision_Rate,RFI_Reopen_Rate,RFI_to_Change_Rate,Approved_Change_Value_Pct_Budget,Pending_Change_Exposure_Pct_Budget,Change_Approval_Cycle_Days,Old_Pending_Change_Rate,Forecast_Incorporation_Lag_Days,Contingency_Utilization_Pct,Revision_Loop_Rate,Workflow_Handoff_Rate,Workflow_Risk_Score_Snapshot
PRJ3-00001,90,5.018,8.369,0.3527,0.3117,0.0834,0.1331,0.0468,0.2094,0.0184,0.014,24.186,0.2549,2.938,0.2891,0.2169,0.3613,3
PRJ3-00002,133,4.496,10.566,0.3348,0.4097,0.0716,0.108,0.0267,0.1206,0.0238,0.0017,11.092,0.1871,0.465,0.1111,0.2348,0.3374,2
PRJ3-00003,65,5.217,8.835,0.3278,0.2951,0.0998,0.177,0.0868,0.2244,0.0068,0.0429,24.067,0.3396,5.362,0.4106,0.2698,0.4326,4
PRJ3-00004,26,4.535,10.169,0.3059,0.4179,0.1373,0.1295,0.0582,0.2123,0.0282,0.0301,10.747,0.0566,2.75,0.1683,0.1339,0.1914,3
PRJ3-00005,86,3.626,4.96,0.6782,0.1088,0.023,0,0.0038,0.0492,0.0161,0.0072,17.204,0.2961,8.113,0.1139,0.1805,0.2685,2
PRJ3-00006,56,4.691,8.276,0.4243,0.3198,0.0678,0.086,0.0074,0.1277,0.0269,0.0057,15.694,0.3109,1.697,0.163,0.3015,0.188,2
PRJ3-00007,124,4.162,7.269,0.3647,0.2927,0.075,0.0348,0.0435,0.0711,0.0125,0.0171,12.947,0.1334,1.449,0.03,0.1716,0.2681,2
PRJ3-00008,57,4.268,6.158,0.3667,0.271,0.0725,0.06,0.0762,0.0936,0.0167,0.0035,11.871,0.2258,3.005,0.3159,0.1732,0.4338,1
PRJ3-00009,96,4.691,14.102,0.08,0.5084,0.0931,0.0378,0.0267,0.0952,0.0201,0.0115,9.752,0.1474,6.334,0.2328,0.1429,0.3487,4
PRJ3-00011,50,5.203,8.9,0.2275,0.3243,0.0834,0.0124,0,0.2443,0.0266,0.0267,28.457,0.3287,7.87,0.2655,0.1756,0.3949,4
PRJ3-00012,52,6.246,11.746,0.1192,0.3233,0.0914,0.115,0.0318,0.2625,0.0616,0.0385,21.338,0.2802,7.834,0.4072,0.3567,0.4036,5
PRJ3-00013,92,6.373,10.122,0.2445,0.324,0.0919,0.1826,0.0622,0.2684,0.0606,0.0317,24.253,0.3381,4.168,0.5504,0.3313,0.3051,4
PRJ3-00014,30,8.215,10.366,0.161,0.3413,0.1108,0.2712,0.07,0.1626,0.0308,0.0338,28.527,0.3445,2.611,0.362,0.335,0.4744,4
PRJ3-00015,4,4.252,12.2,0.08,0.4244,0.1013,0.0999,0.0502,0.02,0.0025,0.005,14.556,0.2083,4.371,0.249,0.1717,0.2922,3
PRJ3-00016,72,5.14,6.076,0.3666,0.2508,0.058,0.0636,0.0181,0.1184,0.0601,0.037,23.799,0.3715,5.297,0.4996,0.3209,0.4961,4
PRJ3-00017,109,5.997,6.69,0.4323,0.3086,0.0929,0.1107,0.0315,0.3098,0.0478,0.0338,22.268,0.3097,7.013,0.3558,0.2342,0.3638,4
PRJ3-00018,51,5.416,7.081,0.3752,0.3032,0.0696,0.2054,0.0824,0.2466,0.0291,0.0394,30.825,0.4223,2.785,0.3573,0.33,0.4508,4
PRJ3-00019,18,3.305,8.847,0.2564,0.3728,0.0973,0.1186,0.0477,0.26,0.0125,0,14.643,0.1235,1.273,0.1686,0.1308,0.2536,1
