Project_ID,Project_Name,Project_Type,Region,State,Client_Type,Contract_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Start_Date,Snapshot_Date,Snapshot_Year,Original_Budget,Planned_Duration_Days,Planned_Percent_Complete,Actual_Percent_Complete,CPI_Snapshot,SPI_Snapshot,Cost_Variance_Pct_Snapshot,Schedule_Variance_Days_Snapshot,Labor_Productivity_Index,Procurement_Delay_Days_to_Date,Weather_Impact_Days_to_Date,Safety_Incident_Rate_to_Date,Snapshot_Data_Completeness_Pct,RFI_Count_to_Date,RFI_Count_per_10M,Avg_RFI_Response_Days,RFI_On_Time_Rate,Overdue_RFI_Rate,High_Critical_Overdue_Rate,RFI_Revision_Rate,RFI_Reopen_Rate,RFI_to_Change_Rate,Approved_Change_Value_Pct_Budget,Pending_Change_Exposure_Pct_Budget,Change_Approval_Cycle_Days,Old_Pending_Change_Rate,Forecast_Incorporation_Lag_Days,Contingency_Utilization_Pct,Revision_Loop_Rate,Workflow_Handoff_Rate,Workflow_Risk_Score_Snapshot,Final_Cost_Overrun_Pct,Final_Schedule_Delay_Days,Cost_Overrun_Flag,Schedule_Delay_Flag,Combined_Overrun_Flag,Final_CPI,Final_SPI,Final_Status,Actual_End_Date,Final_EAC,Data_Split
PRJ3-00001,Northstar Office Campus 1,Commercial,Midwest,MO,Private,Lump Sum,IPD,Moderate,Low,Standard,2019-02-13,2019-09-27,2019,179343700,644,0.352,0.3522,0.9801,0.9963,-0.0066,0,0.9394,27,14,0.12,0.9589,90,5.018,8.369,0.3527,0.3117,0.0834,0.1331,0.0468,0.2094,0.0184,0.014,24.186,0.2549,2.938,0.2891,0.2169,0.3613,3,-0.013,19,0,0,0,1.0132,0.9713,Complete,2020-12-07,177009000,Train
PRJ3-00002,Summit Bridge Program 2,Heavy Civil,Southwest,TX,Private,Lump Sum,Design-Build,Moderate,High,Standard,2021-03-24,2022-07-23,2022,295846200,1031,0.472,0.4988,1.126,1.0422,-0.0661,-28,1.08,0,3,0.311,0.9759,133,4.496,10.566,0.3348,0.4097,0.0716,0.108,0.0267,0.1206,0.0238,0.0017,11.092,0.1871,0.465,0.1111,0.2348,0.3374,2,0.0059,-20,0,0,0,0.9941,1.0198,Complete,2023-12-30,297602100,Train
PRJ3-00003,Copper Town Center 3,Mixed-Use,Northeast,CT,Public,Lump Sum,Design-Bid-Build,Very High,Moderate,Standard,2020-11-07,2021-10-26,2021,124592300,832,0.425,0.3854,0.946,0.911,0.0222,33,0.9992,35,22,1.019,0.9481,65,5.217,8.835,0.3278,0.2951,0.0998,0.177,0.0868,0.2244,0.0068,0.0429,24.067,0.3396,5.362,0.4106,0.2698,0.4326,4,0.0764,-9,0,0,0,0.929,1.0109,Complete,2023-02-08,134110700,Train
PRJ3-00004,Northstar Residences 4,Residential,Southeast,VA,Private,Lump Sum,Design-Build,High,Low,Fast,2023-09-20,2024-10-01,2024,57332900,785,0.481,0.4311,1.0281,0.9183,-0.011,39,0.8973,11,17,0.585,0.9661,26,4.535,10.169,0.3059,0.4179,0.1373,0.1295,0.0582,0.2123,0.0282,0.0301,10.747,0.0566,2.75,0.1683,0.1339,0.1914,3,0.0509,14,0,0,0,0.9515,0.9825,Complete,2025-11-27,60252400,Validation
PRJ3-00005,Liberty Earthworks Package 5,Heavy Civil,Southeast,VA,Private,Lump Sum,Design-Build,Low,High,Standard,2020-03-08,2021-05-28,2021,237166000,1069,0.418,0.435,1.0504,1.0362,-0.0165,-18,1.0485,26,10,0.351,0.9644,86,3.626,4.96,0.6782,0.1088,0.023,0,0.0038,0.0492,0.0161,0.0072,17.204,0.2961,8.113,0.1139,0.1805,0.2685,2,0.0203,-7,0,0,0,0.9801,1.0066,Complete,2023-02-03,241970100,Train
PRJ3-00006,Aspen Marketplace 6,Commercial,Southeast,NC,Private,Lump Sum,Design-Build,Low,Low,Standard,2023-09-08,2024-06-14,2024,119377400,619,0.453,0.4137,0.9916,0.9666,0.0038,24,0.9965,0,0,0.361,0.971,56,4.691,8.276,0.4243,0.3198,0.0678,0.086,0.0074,0.1277,0.0269,0.0057,15.694,0.3109,1.697,0.163,0.3015,0.188,2,0.0022,-20,0,0,0,0.9978,1.0334,Complete,2025-04-29,119642400,Validation
PRJ3-00007,Canyon Public Works Program 7,Infrastructure,Mountain,CO,Public,Cost Plus,Design-Bid-Build,Low,Moderate,Fast,2020-04-11,2021-11-23,2021,297967400,1131,0.523,0.5977,1.0222,1.12,-0.0201,-84,1.0369,7,16,0.279,0.9566,124,4.162,7.269,0.3647,0.2927,0.075,0.0348,0.0435,0.0711,0.0125,0.0171,12.947,0.1334,1.449,0.03,0.1716,0.2681,2,0.0926,-25,0,0,0,0.9153,1.0226,Complete,2023-04-22,325544600,Train
PRJ3-00008,Harbor Urban Village 8,Mixed-Use,West,WA,Public-Private Partnership,Lump Sum,Design-Build,Moderate,Moderate,Standard,2023-11-12,2024-10-11,2024,133566500,877,0.381,0.3648,0.9186,0.9552,0.0413,14,0.996,26,2,0.759,0.9491,57,4.268,6.158,0.3667,0.271,0.0725,0.06,0.0762,0.0936,0.0167,0.0035,11.871,0.2258,3.005,0.3159,0.1732,0.4338,1,0.0872,-3,0,0,0,0.9198,1.0034,Complete,2026-04-04,145212400,Validation
PRJ3-00009,Crescent Medical Center 9,Institutional,Midwest,OH,Private,Unit Price,CMAR,Moderate,High,Standard,2019-07-26,2020-10-09,2020,204654400,1026,0.43,0.4773,1.0413,1.0888,-0.0158,-49,1.0264,2,22,0.769,0.9485,96,4.691,14.102,0.08,0.5084,0.0931,0.0378,0.0267,0.0952,0.0201,0.0115,9.752,0.1474,6.334,0.2328,0.1429,0.3487,4,0.0292,-9,0,0,0,0.9716,1.0088,Complete,2022-05-08,210636900,Train
PRJ3-00011,Northstar Logistics Center 11,Industrial,Midwest,MN,Public,Lump Sum,CMAR,Moderate,High,Slow,2021-06-20,2022-06-14,2022,96090500,865,0.416,0.389,0.9705,0.9181,0.0124,23,1.0783,21,12,0.403,0.9596,50,5.203,8.9,0.2275,0.3243,0.0834,0.0124,0,0.2443,0.0266,0.0267,28.457,0.3287,7.87,0.2655,0.1756,0.3949,4,0.0443,24,0,0,0,0.9576,0.973,Complete,2023-11-26,100349100,Train
PRJ3-00012,Mesa Water Program 12,Heavy Civil,Mountain,WY,Private,Lump Sum,Design-Build,Very High,High,Slow,2018-07-16,2020-05-16,2020,83257900,1290,0.52,0.5014,0.9633,0.9058,0.022,24,0.9504,14,18,0.649,0.9658,52,6.246,11.746,0.1192,0.3233,0.0914,0.115,0.0318,0.2625,0.0616,0.0385,21.338,0.2802,7.834,0.4072,0.3567,0.4036,5,0.0763,12,0,0,0,0.9291,0.9908,Complete,2022-02-07,89611000,Train
PRJ3-00013,Aspen Civic Complex 13,Institutional,Southeast,GA,Private,Cost Plus,Design-Bid-Build,Very High,Moderate,Fast,2024-02-25,2024-12-25,2024,144354900,822,0.37,0.3281,0.8704,0.936,0.0709,34,0.9068,17,22,1.2,0.9465,92,6.373,10.122,0.2445,0.324,0.0919,0.1826,0.0622,0.2684,0.0606,0.0317,24.253,0.3381,4.168,0.5504,0.3313,0.3051,4,0.1127,14,1,0,1,0.8987,0.9833,Complete,2026-06-10,160628400,Validation
PRJ3-00014,Liberty Residences 14,Residential,Southeast,GA,Private,Unit Price,Design-Bid-Build,Very High,Low,Standard,2018-03-21,2019-01-16,2019,36517200,619,0.487,0.4637,0.8172,0.9512,0.1044,14,0.8585,30,26,1.044,0.9461,30,8.215,10.366,0.161,0.3413,0.1108,0.2712,0.07,0.1626,0.0308,0.0338,28.527,0.3445,2.611,0.362,0.335,0.4744,4,0.1836,20,1,0,1,0.8449,0.9687,Complete,2019-12-20,43222600,Train
PRJ3-00015,Lakeview Residences 15,Residential,West,CA,Public,Lump Sum,IPD,Low,High,Slow,2020-03-02,2020-12-23,2020,9406600,629,0.471,0.5202,0.9583,1.0529,-0.0016,-31,1.001,23,6,0.354,0.9614,4,4.252,12.2,0.08,0.4244,0.1013,0.0999,0.0502,0.02,0.0025,0.005,14.556,0.2083,4.371,0.249,0.1717,0.2922,3,0.0291,17,0,0,0,0.9717,0.9737,Complete,2021-12-08,9680300,Train
PRJ3-00016,Evergreen Education Center 16,Institutional,Midwest,OH,Public,Lump Sum,Design-Bid-Build,High,Moderate,Slow,2019-06-16,2020-04-12,2020,140073700,620,0.487,0.433,0.8707,0.9518,0.0601,33,0.9145,31,22,0.972,0.9474,72,5.14,6.076,0.3666,0.2508,0.058,0.0636,0.0181,0.1184,0.0601,0.037,23.799,0.3715,5.297,0.4996,0.3209,0.4961,4,0.1086,16,1,0,1,0.9021,0.9748,Complete,2021-03-13,155282700,Train
PRJ3-00017,Liberty Transit-Oriented Development 17,Mixed-Use,Mountain,MT,Public,Lump Sum,CMAR,High,Moderate,Standard,2020-08-09,2021-12-22,2021,181743400,971,0.515,0.484,0.9188,0.9281,0.0637,30,0.9917,18,11,0.88,0.9548,109,5.997,6.69,0.4323,0.3086,0.0929,0.1107,0.0315,0.3098,0.0478,0.0338,22.268,0.3097,7.013,0.3558,0.2342,0.3638,4,0.0898,29,0,0,0,0.9176,0.971,Complete,2023-05-06,198062700,Train
PRJ3-00018,Crescent Utility Corridor 18,Infrastructure,Southwest,AZ,Private,Lump Sum,IPD,High,High,Slow,2019-12-13,2021-07-09,2021,94165600,1084,0.53,0.4546,0.8885,0.8437,0.0516,82,0.9276,0,15,0.746,0.9574,51,5.416,7.081,0.3752,0.3032,0.0696,0.2054,0.0824,0.2466,0.0291,0.0394,30.825,0.4223,2.785,0.3573,0.33,0.4508,4,0.1576,45,1,1,1,0.8639,0.9601,Complete,2023-01-15,109003200,Train
PRJ3-00019,Harbor Neighborhood 19,Residential,Midwest,OH,Private,Unit Price,Design-Bid-Build,Low,Low,Standard,2024-12-06,2025-08-19,2025,54464000,678,0.378,0.3157,0.8427,0.8147,0.0509,42,0.9626,0,19,0.766,0.9509,18,3.305,8.847,0.2564,0.3728,0.0973,0.1186,0.0477,0.26,0.0125,0,14.643,0.1235,1.273,0.1686,0.1308,0.2536,1,0.1294,-1,1,0,1,0.8854,1.0015,Complete,2026-10-14,61511400,Test
PRJ3-00020,Canyon Logistics Center 20,Industrial,Northeast,NY,Public,Lump Sum,CMAR,Moderate,Moderate,Slow,2022-03-11,2023-09-17,2023,94370000,971,0.572,0.548,0.9405,0.9263,0.0462,23,0.9328,11,19,1.046,0.9523,59,6.252,11.789,0.08,0.3742,0.1154,0.1172,0.0311,0.0542,0.0094,0.0244,25.161,0.3883,11.426,0.3171,0.2232,0.3576,5,0.0772,-21,0,0,0,0.9284,1.0221,Complete,2024-10-16,101653200,Train
PRJ3-00021,Pioneer Research Facility 21,Institutional,Southeast,FL,Private,Guaranteed Maximum Price,Design-Bid-Build,High,High,Standard,2021-08-08,2022-10-19,2022,119545900,910,0.481,0.4477,1.0568,0.9333,-0.0128,30,0.8318,17,13,0.495,0.9573,54,4.517,4.699,0.3874,0.1947,0.0639,0.0899,0.0175,0.2734,0.0214,0.0304,20.731,0.2694,6.519,0.3234,0.2872,0.3648,3,0.0043,4,0,0,0,0.9957,0.9956,Complete,2024-02-08,120057400,Train
PRJ3-00022,Redwood Apartments 22,Residential,Midwest,MN,Private,Guaranteed Maximum Price,Design-Build,High,Low,Slow,2022-01-16,2022-08-10,2022,26541300,448,0.461,0.37,0.8629,0.8534,0.0534,41,0.9253,8,19,0.603,0.9685,13,4.898,12.663,0.0913,0.5698,0.1285,0.1534,0.0414,0.247,0.0392,0.019,26.135,0.4249,2.669,0.4274,0.1829,0.3587,4,0.1008,43,1,1,1,0.9085,0.9124,Complete,2023-05-22,29215400,Train
PRJ3-00023,Aspen Airport Improvements 23,Infrastructure,Midwest,OH,Public-Private Partnership,Lump Sum,Design-Bid-Build,Moderate,Low,Standard,2023-10-06,2024-12-26,2024,210228700,1253,0.357,0.3089,0.821,0.8552,0.0445,60,0.8028,24,12,0.906,0.9707,100,4.757,5.513,0.369,0.2501,0.067,0.1626,0.066,0.1658,0.0494,0.0287,17.906,0.1741,0.39,0.3555,0.1906,0.1771,2,0.2365,-8,1,0,1,0.8088,1.0064,Complete,2027-03-04,259938400,Validation
PRJ3-00024,Aspen Retail Center 24,Commercial,West,OR,Private,Guaranteed Maximum Price,CMAR,Low,Moderate,Standard,2021-08-24,2022-08-23,2022,59923000,630,0.578,0.56,1.039,0.9763,-0.0439,11,0.9605,14,9,0.372,0.9621,20,3.338,7.019,0.4519,0.269,0.0404,0.0996,0.0605,0.02,0,0.0201,24.998,0.2872,1.952,0.2054,0.1688,0.2833,2,-0.0189,-19,0,0,0,1.0192,1.0311,Complete,2023-04-27,58791700,Train
