Action_ID,Table,Record_ID,Field,Issue_Type,Raw_Value,Clean_Value,Action,Evidence,Disposition
CLN-0001,projects_raw,PRJ3-01017,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0002,projects_raw,PRJ3-00981,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0003,projects_raw,PRJ3-01458,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0004,projects_raw,PRJ3-01916,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0005,projects_raw,PRJ3-01811,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0006,projects_raw,PRJ3-00522,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0007,projects_raw,PRJ3-00979,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0008,projects_raw,PRJ3-00717,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0009,projects_raw,PRJ3-01199,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0010,projects_raw,PRJ3-01822,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0011,projects_raw,PRJ3-02148,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0012,projects_raw,PRJ3-00573,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0013,workflow_features_raw,PRJ3-01952,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0014,workflow_features_raw,PRJ3-00962,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0015,workflow_features_raw,PRJ3-02025,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0016,workflow_features_raw,PRJ3-02285,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0017,workflow_features_raw,PRJ3-00187,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0018,workflow_features_raw,PRJ3-01090,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0019,workflow_features_raw,PRJ3-00232,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0020,workflow_features_raw,PRJ3-00321,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0021,workflow_features_raw,PRJ3-00652,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0022,workflow_features_raw,PRJ3-01924,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0023,workflow_features_raw,PRJ3-00856,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0024,workflow_features_raw,PRJ3-01339,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0025,outcomes_raw,PRJ3-00546,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0026,outcomes_raw,PRJ3-00997,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0027,outcomes_raw,PRJ3-00959,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0028,outcomes_raw,PRJ3-01963,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0029,outcomes_raw,PRJ3-00625,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0030,outcomes_raw,PRJ3-01006,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0031,outcomes_raw,PRJ3-01616,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0032,outcomes_raw,PRJ3-00227,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0033,outcomes_raw,PRJ3-01830,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0034,outcomes_raw,PRJ3-01990,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0035,outcomes_raw,PRJ3-00051,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0036,outcomes_raw,PRJ3-02244,Entire row,Exact duplicate,Duplicate,,Remove exact duplicate,Exact row match,Removed
CLN-0037,projects_raw,PRJ3-00076,Complexity_Level,Categorical standardization,low ,Low,Map controlled value,Approved mapping rule,Repaired
CLN-0038,projects_raw,PRJ3-00097,Complexity_Level,Categorical standardization,low ,Low,Map controlled value,Approved mapping rule,Repaired
CLN-0039,projects_raw,PRJ3-00134,Row,Critical validation failure,,,Quarantine row,Snapshot_Data_Completeness_Pct outside 0-1,Quarantined
CLN-0040,projects_raw,PRJ3-00145,Owner_Decision_Profile,Categorical standardization,standard ,Standard,Map controlled value,Approved mapping rule,Repaired
CLN-0041,projects_raw,PRJ3-00148,Row,Critical validation failure,,,Quarantine row,Missing critical field Labor_Productivity_Index,Quarantined
CLN-0042,projects_raw,PRJ3-00197,Complexity_Level,Categorical standardization,low ,Low,Map controlled value,Approved mapping rule,Repaired
CLN-0043,projects_raw,PRJ3-00347,Delivery_Method,Categorical standardization,Design Build,Design-Build,Map controlled value,Approved mapping rule,Repaired
CLN-0044,projects_raw,PRJ3-00366,Owner_Decision_Profile,Categorical standardization,SLOW,Slow,Map controlled value,Approved mapping rule,Repaired
CLN-0045,projects_raw,PRJ3-00404,Digital_Coordination_Level,Categorical standardization,HIGH,High,Map controlled value,Approved mapping rule,Repaired
CLN-0046,projects_raw,PRJ3-00432,Row,Critical validation failure,,,Quarantine row,Missing critical field SPI_Snapshot,Quarantined
CLN-0047,projects_raw,PRJ3-00510,Complexity_Level,Categorical standardization,MODERATE,Moderate,Map controlled value,Approved mapping rule,Repaired
CLN-0048,projects_raw,PRJ3-00630,Owner_Decision_Profile,Categorical standardization,standard ,Standard,Map controlled value,Approved mapping rule,Repaired
CLN-0049,projects_raw,PRJ3-00745,Row,Critical validation failure,,,Quarantine row,Snapshot_Date before Start_Date,Quarantined
CLN-0050,projects_raw,PRJ3-00766,Delivery_Method,Categorical standardization,Design Build,Design-Build,Map controlled value,Approved mapping rule,Repaired
CLN-0051,projects_raw,PRJ3-00862,Owner_Decision_Profile,Categorical standardization,standard ,Standard,Map controlled value,Approved mapping rule,Repaired
CLN-0052,projects_raw,PRJ3-00911,Row,Critical validation failure,,,Quarantine row,Original_Budget must be positive,Quarantined
CLN-0053,projects_raw,PRJ3-00946,Complexity_Level,Categorical standardization,high,High,Map controlled value,Approved mapping rule,Repaired
CLN-0054,projects_raw,PRJ3-00973,Row,Critical validation failure,,,Quarantine row,Missing critical field CPI_Snapshot,Quarantined
CLN-0055,projects_raw,PRJ3-01004,Delivery_Method,Categorical standardization,DBB,Design-Bid-Build,Map controlled value,Approved mapping rule,Repaired
CLN-0056,projects_raw,PRJ3-01015,Row,Critical validation failure,,,Quarantine row,Snapshot_Date before Start_Date,Quarantined
CLN-0057,projects_raw,PRJ3-01074,Delivery_Method,Categorical standardization,Design Build,Design-Build,Map controlled value,Approved mapping rule,Repaired
CLN-0058,projects_raw,PRJ3-01102,Delivery_Method,Categorical standardization,CM at Risk,CMAR,Map controlled value,Approved mapping rule,Repaired
CLN-0059,projects_raw,PRJ3-01192,Row,Critical validation failure,,,Quarantine row,Missing critical field Labor_Productivity_Index,Quarantined
CLN-0060,projects_raw,PRJ3-01242,Owner_Decision_Profile,Categorical standardization,FAST,Fast,Map controlled value,Approved mapping rule,Repaired
CLN-0061,projects_raw,PRJ3-01258,Delivery_Method,Categorical standardization,Design Build,Design-Build,Map controlled value,Approved mapping rule,Repaired
CLN-0062,projects_raw,PRJ3-01294,Row,Critical validation failure,,,Quarantine row,Snapshot_Date before Start_Date,Quarantined
CLN-0063,projects_raw,PRJ3-01349,Delivery_Method,Categorical standardization,Design Build,Design-Build,Map controlled value,Approved mapping rule,Repaired
CLN-0064,projects_raw,PRJ3-01350,Digital_Coordination_Level,Categorical standardization,moderate ,Moderate,Map controlled value,Approved mapping rule,Repaired
CLN-0065,projects_raw,PRJ3-01356,Row,Critical validation failure,,,Quarantine row,Snapshot_Date before Start_Date,Quarantined
CLN-0066,projects_raw,PRJ3-01360,Delivery_Method,Categorical standardization,CM at Risk,CMAR,Map controlled value,Approved mapping rule,Repaired
CLN-0067,projects_raw,PRJ3-01396,Row,Critical validation failure,,,Quarantine row,Snapshot_Data_Completeness_Pct outside 0-1,Quarantined
CLN-0068,projects_raw,PRJ3-01448,Owner_Decision_Profile,Categorical standardization,FAST,Fast,Map controlled value,Approved mapping rule,Repaired
CLN-0069,projects_raw,PRJ3-01449,Row,Critical validation failure,,,Quarantine row,Snapshot_Data_Completeness_Pct outside 0-1,Quarantined
CLN-0070,projects_raw,PRJ3-01483,Owner_Decision_Profile,Categorical standardization,FAST,Fast,Map controlled value,Approved mapping rule,Repaired
CLN-0071,projects_raw,PRJ3-01494,Delivery_Method,Categorical standardization,DBB,Design-Bid-Build,Map controlled value,Approved mapping rule,Repaired
