Quarantine_ID,Table,Record_ID,Reason,Raw_Record_JSON
Q-0001,projects_raw,PRJ3-00134,Snapshot_Data_Completeness_Pct outside 0-1,"{""Actual_Percent_Complete"": ""0.4092"", ""CPI_Snapshot"": ""0.9882"", ""Client_Type"": ""Private"", ""Complexity_Level"": ""Moderate"", ""Contract_Type"": ""Cost Plus"", ""Cost_Variance_Pct_Snapshot"": ""0.0092"", ""Delivery_Method"": ""IPD"", ""Digital_Coordination_Level"": ""Moderate"", ""Labor_Productivity_Index"": ""1.0055"", ""Original_Budget"": ""261846800"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""1005"", ""Planned_Percent_Complete"": ""0.412"", ""Procurement_Delay_Days_to_Date"": ""11"", ""Project_ID"": ""PRJ3-00134"", ""Project_Name"": ""Redwood Transit-Oriented Development 134"", ""Project_Type"": ""Mixed-Use"", ""Region"": ""Southwest"", ""SPI_Snapshot"": ""0.9525"", ""Safety_Incident_Rate_to_Date"": ""0.637"", ""Schedule_Variance_Days_Snapshot"": ""3"", ""Snapshot_Data_Completeness_Pct"": ""-0.9542"", ""Snapshot_Date"": ""2023-07-12"", ""Snapshot_Year"": ""2023"", ""Start_Date"": ""2022-05-24"", ""State"": ""NM"", ""Weather_Impact_Days_to_Date"": ""2""}"
Q-0002,projects_raw,PRJ3-00148,Missing critical field Labor_Productivity_Index,"{""Actual_Percent_Complete"": ""0.3487"", ""CPI_Snapshot"": ""0.8368"", ""Client_Type"": ""Public"", ""Complexity_Level"": ""High"", ""Contract_Type"": ""Unit Price"", ""Cost_Variance_Pct_Snapshot"": ""0.0772"", ""Delivery_Method"": ""Design-Build"", ""Digital_Coordination_Level"": ""Low"", ""Labor_Productivity_Index"": """", ""Original_Budget"": ""410815600"", ""Owner_Decision_Profile"": ""Slow"", ""Planned_Duration_Days"": ""1014"", ""Planned_Percent_Complete"": ""0.405"", ""Procurement_Delay_Days_to_Date"": ""25"", ""Project_ID"": ""PRJ3-00148"", ""Project_Name"": ""Horizon Utility Corridor 148"", ""Project_Type"": ""Infrastructure"", ""Region"": ""Southeast"", ""SPI_Snapshot"": ""0.8681"", ""Safety_Incident_Rate_to_Date"": ""0.671"", ""Schedule_Variance_Days_Snapshot"": ""57"", ""Snapshot_Data_Completeness_Pct"": ""0.9589"", ""Snapshot_Date"": ""2023-07-06"", ""Snapshot_Year"": ""2023"", ""Start_Date"": ""2022-05-22"", ""State"": ""NC"", ""Weather_Impact_Days_to_Date"": ""21""}"
Q-0003,projects_raw,PRJ3-00432,Missing critical field SPI_Snapshot,"{""Actual_Percent_Complete"": ""0.371"", ""CPI_Snapshot"": ""0.9689"", ""Client_Type"": ""Public-Private Partnership"", ""Complexity_Level"": ""Moderate"", ""Contract_Type"": ""Guaranteed Maximum Price"", ""Cost_Variance_Pct_Snapshot"": ""0.017"", ""Delivery_Method"": ""Design-Build"", ""Digital_Coordination_Level"": ""Low"", ""Labor_Productivity_Index"": ""0.8002"", ""Original_Budget"": ""208624100"", ""Owner_Decision_Profile"": ""Slow"", ""Planned_Duration_Days"": ""964"", ""Planned_Percent_Complete"": ""0.423"", ""Procurement_Delay_Days_to_Date"": ""28"", ""Project_ID"": ""PRJ3-00432"", ""Project_Name"": ""Gateway Logistics Center 432"", ""Project_Type"": ""Industrial"", ""Region"": ""Southeast"", ""SPI_Snapshot"": """", ""Safety_Incident_Rate_to_Date"": ""0.746"", ""Schedule_Variance_Days_Snapshot"": ""50"", ""Snapshot_Data_Completeness_Pct"": ""0.9562"", ""Snapshot_Date"": ""2022-12-28"", ""Snapshot_Year"": ""2022"", ""Start_Date"": ""2021-11-16"", ""State"": ""FL"", ""Weather_Impact_Days_to_Date"": ""15""}"
Q-0004,projects_raw,PRJ3-00745,Snapshot_Date before Start_Date,"{""Actual_Percent_Complete"": ""0.4705"", ""CPI_Snapshot"": ""0.9014"", ""Client_Type"": ""Private"", ""Complexity_Level"": ""High"", ""Contract_Type"": ""Guaranteed Maximum Price"", ""Cost_Variance_Pct_Snapshot"": ""0.0614"", ""Delivery_Method"": ""CMAR"", ""Digital_Coordination_Level"": ""Moderate"", ""Labor_Productivity_Index"": ""0.9386"", ""Original_Budget"": ""128545100"", ""Owner_Decision_Profile"": ""Slow"", ""Planned_Duration_Days"": ""876"", ""Planned_Percent_Complete"": ""0.535"", ""Procurement_Delay_Days_to_Date"": ""30"", ""Project_ID"": ""PRJ3-00745"", ""Project_Name"": ""Cedar Medical Center 745"", ""Project_Type"": ""Institutional"", ""Region"": ""Northeast"", ""SPI_Snapshot"": ""0.8701"", ""Safety_Incident_Rate_to_Date"": ""0.437"", ""Schedule_Variance_Days_Snapshot"": ""57"", ""Snapshot_Data_Completeness_Pct"": ""0.9621"", ""Snapshot_Date"": ""2021-03-08"", ""Snapshot_Year"": ""2022"", ""Start_Date"": ""2022-06-19"", ""State"": ""PA"", ""Weather_Impact_Days_to_Date"": ""19""}"
Q-0005,projects_raw,PRJ3-00911,Original_Budget must be positive,"{""Actual_Percent_Complete"": ""0.35"", ""CPI_Snapshot"": ""0.9441"", ""Client_Type"": ""Public"", ""Complexity_Level"": ""High"", ""Contract_Type"": ""Unit Price"", ""Cost_Variance_Pct_Snapshot"": ""0.0223"", ""Delivery_Method"": ""CMAR"", ""Digital_Coordination_Level"": ""Moderate"", ""Labor_Productivity_Index"": ""0.9009"", ""Original_Budget"": ""-293198300.0"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""956"", ""Planned_Percent_Complete"": ""0.36"", ""Procurement_Delay_Days_to_Date"": ""2"", ""Project_ID"": ""PRJ3-00911"", ""Project_Name"": ""Crescent Manufacturing Facility 911"", ""Project_Type"": ""Industrial"", ""Region"": ""Mountain"", ""SPI_Snapshot"": ""0.9599"", ""Safety_Incident_Rate_to_Date"": ""0.663"", ""Schedule_Variance_Days_Snapshot"": ""10"", ""Snapshot_Data_Completeness_Pct"": ""0.9742"", ""Snapshot_Date"": ""2024-01-27"", ""Snapshot_Year"": ""2024"", ""Start_Date"": ""2023-02-17"", ""State"": ""ID"", ""Weather_Impact_Days_to_Date"": ""10""}"
Q-0006,projects_raw,PRJ3-00973,Missing critical field CPI_Snapshot,"{""Actual_Percent_Complete"": ""0.372"", ""CPI_Snapshot"": """", ""Client_Type"": ""Private"", ""Complexity_Level"": ""Very High"", ""Contract_Type"": ""Lump Sum"", ""Cost_Variance_Pct_Snapshot"": ""0.0537"", ""Delivery_Method"": ""Design-Bid-Build"", ""Digital_Coordination_Level"": ""Low"", ""Labor_Productivity_Index"": ""0.9329"", ""Original_Budget"": ""191677000"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""889"", ""Planned_Percent_Complete"": ""0.434"", ""Procurement_Delay_Days_to_Date"": ""38"", ""Project_ID"": ""PRJ3-00973"", ""Project_Name"": ""Copper Urban Village 973"", ""Project_Type"": ""Mixed-Use"", ""Region"": ""Midwest"", ""SPI_Snapshot"": ""0.9114"", ""Safety_Incident_Rate_to_Date"": ""0.89"", ""Schedule_Variance_Days_Snapshot"": ""55"", ""Snapshot_Data_Completeness_Pct"": ""0.9579"", ""Snapshot_Date"": ""2021-06-28"", ""Snapshot_Year"": ""2021"", ""Start_Date"": ""2020-06-08"", ""State"": ""IL"", ""Weather_Impact_Days_to_Date"": ""18""}"
Q-0007,projects_raw,PRJ3-01015,Snapshot_Date before Start_Date,"{""Actual_Percent_Complete"": ""0.5411"", ""CPI_Snapshot"": ""0.8429"", ""Client_Type"": ""Private"", ""Complexity_Level"": ""Moderate"", ""Contract_Type"": ""Cost Plus"", ""Cost_Variance_Pct_Snapshot"": ""0.1078"", ""Delivery_Method"": ""Design-Bid-Build"", ""Digital_Coordination_Level"": ""Low"", ""Labor_Productivity_Index"": ""0.941"", ""Original_Budget"": ""103469000"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""1094"", ""Planned_Percent_Complete"": ""0.586"", ""Procurement_Delay_Days_to_Date"": ""35"", ""Project_ID"": ""PRJ3-01015"", ""Project_Name"": ""Aspen Highway Improvements 1015"", ""Project_Type"": ""Heavy Civil"", ""Region"": ""West"", ""SPI_Snapshot"": ""0.888"", ""Safety_Incident_Rate_to_Date"": ""0.383"", ""Schedule_Variance_Days_Snapshot"": ""49"", ""Snapshot_Data_Completeness_Pct"": ""0.9398"", ""Snapshot_Date"": ""2022-01-23"", ""Snapshot_Year"": ""2023"", ""Start_Date"": ""2023-10-26"", ""State"": ""CA"", ""Weather_Impact_Days_to_Date"": ""3""}"
Q-0008,projects_raw,PRJ3-01192,Missing critical field Labor_Productivity_Index,"{""Actual_Percent_Complete"": ""0.4608"", ""CPI_Snapshot"": ""0.9523"", ""Client_Type"": ""Public"", ""Complexity_Level"": ""Moderate"", ""Contract_Type"": ""Cost Plus"", ""Cost_Variance_Pct_Snapshot"": ""0.0279"", ""Delivery_Method"": ""Design-Build"", ""Digital_Coordination_Level"": ""High"", ""Labor_Productivity_Index"": """", ""Original_Budget"": ""89897000"", ""Owner_Decision_Profile"": ""Slow"", ""Planned_Duration_Days"": ""632"", ""Planned_Percent_Complete"": ""0.437"", ""Procurement_Delay_Days_to_Date"": ""13"", ""Project_ID"": ""PRJ3-01192"", ""Project_Name"": ""Riverside Apartments 1192"", ""Project_Type"": ""Residential"", ""Region"": ""Mountain"", ""SPI_Snapshot"": ""1.1014"", ""Safety_Incident_Rate_to_Date"": ""0.557"", ""Schedule_Variance_Days_Snapshot"": ""-15"", ""Snapshot_Data_Completeness_Pct"": ""0.9629"", ""Snapshot_Date"": ""2024-09-15"", ""Snapshot_Year"": ""2024"", ""Start_Date"": ""2023-12-14"", ""State"": ""UT"", ""Weather_Impact_Days_to_Date"": ""20""}"
Q-0009,projects_raw,PRJ3-01294,Snapshot_Date before Start_Date,"{""Actual_Percent_Complete"": ""0.4164"", ""CPI_Snapshot"": ""0.9401"", ""Client_Type"": ""Private"", ""Complexity_Level"": ""High"", ""Contract_Type"": ""Unit Price"", ""Cost_Variance_Pct_Snapshot"": ""0.0066"", ""Delivery_Method"": ""CMAR"", ""Digital_Coordination_Level"": ""High"", ""Labor_Productivity_Index"": ""0.9712"", ""Original_Budget"": ""172620600"", ""Owner_Decision_Profile"": ""Slow"", ""Planned_Duration_Days"": ""863"", ""Planned_Percent_Complete"": ""0.439"", ""Procurement_Delay_Days_to_Date"": ""18"", ""Project_ID"": ""PRJ3-01294"", ""Project_Name"": ""Evergreen Distribution Hub 1294"", ""Project_Type"": ""Industrial"", ""Region"": ""Southwest"", ""SPI_Snapshot"": ""0.9632"", ""Safety_Incident_Rate_to_Date"": ""0.378"", ""Schedule_Variance_Days_Snapshot"": ""19"", ""Snapshot_Data_Completeness_Pct"": ""0.9551"", ""Snapshot_Date"": ""2018-08-06"", ""Snapshot_Year"": ""2019"", ""Start_Date"": ""2019-08-19"", ""State"": ""AZ"", ""Weather_Impact_Days_to_Date"": ""8""}"
Q-0010,projects_raw,PRJ3-01356,Snapshot_Date before Start_Date,"{""Actual_Percent_Complete"": ""0.545"", ""CPI_Snapshot"": ""0.795"", ""Client_Type"": ""Public"", ""Complexity_Level"": ""Very High"", ""Contract_Type"": ""Lump Sum"", ""Cost_Variance_Pct_Snapshot"": ""0.1411"", ""Delivery_Method"": ""Design-Bid-Build"", ""Digital_Coordination_Level"": ""Moderate"", ""Labor_Productivity_Index"": ""0.8686"", ""Original_Budget"": ""39027700"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""809"", ""Planned_Percent_Complete"": ""0.578"", ""Procurement_Delay_Days_to_Date"": ""25"", ""Project_ID"": ""PRJ3-01356"", ""Project_Name"": ""Summit Apartments 1356"", ""Project_Type"": ""Residential"", ""Region"": ""Mountain"", ""SPI_Snapshot"": ""0.939"", ""Safety_Incident_Rate_to_Date"": ""0.348"", ""Schedule_Variance_Days_Snapshot"": ""27"", ""Snapshot_Data_Completeness_Pct"": ""0.9449"", ""Snapshot_Date"": ""2019-07-18"", ""Snapshot_Year"": ""2020"", ""Start_Date"": ""2020-10-27"", ""State"": ""MT"", ""Weather_Impact_Days_to_Date"": ""23""}"
